pilot,role_code,role_label,profile_id,profile_label,n_skills,technologies_covered,skills_included,suggested_hire_title,suggested_hire_esco_code,suggested_hire_esco_uri,esco_affinity_score,isco_group,optimal_k,silhouette_score,strategy
A,2,Supervisor,A_2_0,Information and Data Literacy skills,3,DPP Model,simulation usage; Information and Data Literacy skills; Digital Content Creation skills,data engineer,2511.20,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,0.362,2511,2,0.085,new hire
A,2,Supervisor,A_2_1,Task Programming,3,Function-oriented assembly; Hybrid disassembly,Task Programming; think out of the box; Evaluate and verify parameters and adjust settings,building information modelling consultant,2421.6,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,0.295,2421,2,0.085,new hire
A,3,Operator,A_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,3,Hybrid disassembly,"Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial machinery assembler,8211.2,http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,0.251,8211,4,0.129,new hire
A,3,Operator,A_3_1,Effective human-system communication,2,Function-oriented assembly; Hybrid disassembly,Collaboration and knowledge about the cobot capabilities and parameters; Effective human-system communication,product quality controller,7543.9,http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9,0.247,7543,4,0.129,new hire
A,3,Operator,A_3_2,End effector control,1,Hybrid disassembly,End effector control,ski lift operator,7412.13,http://data.europa.eu/esco/occupation/3f0b6500-dfb5-40a8-9bce-72998ec3d344,0.149,7412,4,0.129,new hire
A,3,Operator,A_3_3,"Organizing and maintaining the specific data subsets, DPP data workflows",2,Hybrid disassembly; DPP Model,"Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.",data entry clerk,4132.1,http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,0.298,4132,4,0.129,new hire
B,2,Supervisor,B_2_0,Digital Content Creation skills,4,Function-oriented assembly; DPP Model,simulation usage; Information and Data Literacy skills; Digital Content Creation skills; Evaluate and verify parameters and adjust settings,building information modelling consultant,2421.6,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,0.385,2421,2,0.096,new hire
B,2,Supervisor,B_2_1,think out of the box,1,Function-oriented assembly,think out of the box,officer of the watch,3152.6,http://data.europa.eu/esco/occupation/17e39591-7137-4960-94c8-8169f7a5d67b,0.178,3152,2,0.096,new hire
B,3,Operator,B_3_0,Basic material science knowledge,2,Cold spray,Basic material science knowledge; Cold spray parameter awareness,tool grinder,7224.2,http://data.europa.eu/esco/occupation/835d118e-11db-4b11-b055-d78bfe426cac,0.259,7224,2,0.062,new hire
B,3,Operator,B_3_1,Procedural precision and mental focus,6,Function-oriented assembly; Cold spray; DPP Model,"Organizing and maintaining the specific data subsets, DPP data workflows; Cognitive and spatial reasoning; Psychomotor and physical capabilities; Procedural precision and mental focus; Basic robotic programming; Effective human-system communication",tramways technician,7421.9,http://data.europa.eu/esco/occupation/b874b541-2cb3-460b-96d7-4f83fe04b41d,0.286,7421,2,0.062,new hire
K,2,Supervisor,K_2_0,Information and Data Literacy skills,3,DPP Model,simulation usage; Information and Data Literacy skills; Digital Content Creation skills,data engineer,2511.20,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,0.362,2511,3,0.072,new hire
K,2,Supervisor,K_2_1,Task Programming,3,Function-oriented assembly; Hybrid disassembly,Task Programming; think out of the box; Evaluate and verify parameters and adjust settings,building information modelling consultant,2421.6,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,0.295,2421,3,0.072,new hire
K,2,Supervisor,K_2_2,PPE and Hazard awareness,1,Cold spray,PPE and Hazard awareness,occupational health and safety inspector,3257.5,http://data.europa.eu/esco/occupation/673f3266-ab1a-447d-9b28-fc5838dc07e3,0.335,3257,3,0.072,new hire
K,3,Operator,K_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,2,Hybrid disassembly,Observe the disassembly process and understand the sequence the first time it is carried out; Check the progress of the plan (disassembly point),industrial machinery assembler,8211.2,http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,0.2,8211,5,0.097,new hire
K,3,Operator,K_3_1,"Organizing and maintaining the specific data subsets, DPP data workflows",2,Hybrid disassembly; DPP Model,"Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.",data entry clerk,4132.1,http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,0.298,4132,5,0.097,new hire
K,3,Operator,K_3_2,Psychomotor and physical capabilities,5,Function-oriented assembly; Cold spray; Hybrid disassembly,Collaboration and knowledge about the cobot capabilities and parameters; End effector control; Psychomotor and physical capabilities; Basic robotic programming; Effective human-system communication,mobile crane operator,8343.3,http://data.europa.eu/esco/occupation/1f2b8092-1787-4ef4-9282-cf81ce4b4d76,0.267,8343,5,0.097,new hire
K,3,Operator,K_3_3,Basic material science knowledge,2,Cold spray,Basic material science knowledge; Cold spray parameter awareness,tool grinder,7224.2,http://data.europa.eu/esco/occupation/835d118e-11db-4b11-b055-d78bfe426cac,0.259,7224,5,0.097,new hire
K,3,Operator,K_3_4,Cognitive and spatial reasoning,2,Cold spray,Cognitive and spatial reasoning; Procedural precision and mental focus,freight transport dispatcher,4323.6,http://data.europa.eu/esco/occupation/49e28648-4fa8-4b36-ac4d-781c108547bf,0.208,4323,5,0.097,new hire
L,2,Supervisor,L_2_0,Information and Data Literacy skills,3,DPP Model,simulation usage; Information and Data Literacy skills; Digital Content Creation skills,data engineer,2511.20,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,0.362,2511,2,0.076,new hire
L,2,Supervisor,L_2_1,Task Programming,4,Function-oriented assembly; Hybrid disassembly,Task Programming; Optimization and scheduling; think out of the box; Evaluate and verify parameters and adjust settings,building information modelling consultant,2421.6,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,0.318,2421,2,0.076,new hire
