tech_skill_id,esco_skill_uri,similarity,state
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,0.785,present
DPP Model_Strategic integration,http://data.europa.eu/esco/skill/a4a882a1-0263-4dd2-b29a-f0028cac2393,0.782,present
Hybrid disassembly_Which disassembled components to recycle/scrap/collect,http://data.europa.eu/esco/skill/2562fa92-6ecf-4ba9-831e-0ce94acb8991,0.7243,adjacent
Function-oriented assembly_Strategic decision-making,http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63,0.7142,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/445b65c5-5b16-4f66-94ce-f2a7f49f9ee7,0.7078,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/f66b2fc3-2952-41e5-89bf-a9157ea29420,0.6679,adjacent
Cold spray_Waste management,http://data.europa.eu/esco/skill/f82b05a7-128b-4a72-a815-044ff6062f62,0.663,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/fb40d2c6-fe3c-4e49-9289-49e98900b315,0.6612,adjacent
"DPP Model_System administration, data security, operational continuity",http://data.europa.eu/esco/skill/2a3a96a3-709e-4d60-81f6-d247d6933f13,0.6495,adjacent
DPP Model_Cybersecurity Awareness,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,0.6477,adjacent
DPP Model_Strategic integration,http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63,0.647,adjacent
Function-oriented assembly_Optimization and scheduling,http://data.europa.eu/esco/skill/d63f83f4-648e-4adb-8e4c-b7aa7b3d76c0,0.6396,adjacent
Cold spray_Quality control basics,http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3,0.6375,adjacent
Hybrid disassembly_Spatial Awareness of the cobot,http://data.europa.eu/esco/skill/4e7b2c61-aa42-404c-995f-32281b818923,0.6331,adjacent
Function-oriented assembly_Strategic decision-making,http://data.europa.eu/esco/skill/d41262ae-eca1-4ede-89a8-46d2d99a7a31,0.6287,adjacent
DPP Model_Interoperability and data exchange awareness,http://data.europa.eu/esco/skill/cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1,0.6238,adjacent
"Function-oriented assembly_Technological safety, cybersecurity, and privacy",http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,0.6225,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,0.6206,adjacent
Hybrid disassembly_Which disassembled components to recycle/scrap/collect,http://data.europa.eu/esco/skill/a380a391-08fd-44a6-9f8c-39de05dd996b,0.6196,adjacent
"Hybrid disassembly_Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level",http://data.europa.eu/esco/skill/2562fa92-6ecf-4ba9-831e-0ce94acb8991,0.6187,adjacent
Cold spray_Waste management,http://data.europa.eu/esco/skill/519e5731-4d6c-4f98-938e-0976a202c6ba,0.6182,adjacent
Cold spray_Waste management,http://data.europa.eu/esco/skill/3220a66f-d129-463b-848e-891b4f1c79e3,0.6124,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,0.6121,adjacent
DPP Model_Problem-solving,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,0.6103,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/df08a4ae-4024-4460-8c92-eab78da1c94b,0.6065,adjacent
Hybrid disassembly_Which disassembled components to recycle/scrap/collect,http://data.europa.eu/esco/skill/3dc6fd8e-6ff7-432e-a262-04d487858efb,0.5994,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/989dc903-5838-4d84-8e04-e5b7a2ba97c5,0.5991,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/6f5850ea-5785-4e2c-b062-743066fd5bdb,0.5981,adjacent
"Function-oriented assembly_Technological safety, cybersecurity, and privacy",http://data.europa.eu/esco/skill/fe1c2b32-7fe9-4668-affa-07ff658a68cf,0.5934,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/a7b9e3cd-cd39-4ea1-b617-3f5b651fd535,0.5934,adjacent
Cold spray_Quality control basics,http://data.europa.eu/esco/skill/8af372fa-7b85-4bab-ab20-3f2eb980c400,0.5919,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/44e2c4c4-9fd2-42d4-a133-d81360ded4bc,0.5904,adjacent
Cold spray_Quality control basics,http://data.europa.eu/esco/skill/3edfcb2b-2d0e-4673-87ce-f55c37eb5fca,0.5897,adjacent
DPP Model_sustainability compliance,http://data.europa.eu/esco/skill/afbc401c-cad8-43b6-8d61-775d2c7b58d5,0.5889,adjacent
DPP Model_Process optimization,http://data.europa.eu/esco/skill/0f0698e7-04e4-4bf7-9af2-e3191147525a,0.5885,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/f2f463e5-2382-49cb-8199-e7e043d868df,0.5816,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/47d491a9-f7c0-4b13-a10f-983d3aa0113e,0.578,adjacent
Hybrid disassembly_Knowledge of emergency safety routines,http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,0.5773,adjacent
DPP Model_Process optimization,http://data.europa.eu/esco/skill/3786b61f-f22e-48d1-af8d-ad4c354534db,0.5756,adjacent
