pilot|esco_occ_code|technology|tech_skill|affinity_score|occ_match|level1_strategy|tech_skill_id
A|2141.4.1|DPP Model|Digital Content Creation skills|0.2339|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|3122.4.8|DPP Model|Digital Content Creation skills|0.2334|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|3122.3.4|DPP Model|Digital Content Creation skills|0.2296|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2141.4.2|DPP Model|Digital Content Creation skills|0.2292|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2521.4|DPP Model|Digital Content Creation skills|0.2251|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2521.1|DPP Model|Digital Content Creation skills|0.2184|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2144.1.6|DPP Model|Digital Content Creation skills|0.2135|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2144.1.9|DPP Model|Digital Content Creation skills|0.2007|secondary candidate|new hire|DPP Model_Digital Content Creation skills
A|2141.4.2|DPP Model|Information and Data Literacy skills|0.2013|secondary candidate|new hire|DPP Model_Information and Data Literacy skills
A|2521.4|DPP Model|Interoperability and data exchange awareness|0.2294|secondary candidate|new hire|DPP Model_Interoperability and data exchange awareness
A|2144.1.9|DPP Model|Problem-solving|0.2836|secondary candidate|new hire|DPP Model_Problem-solving
A|2141.4.1|DPP Model|Problem-solving|0.2832|secondary candidate|new hire|DPP Model_Problem-solving
A|2144.1.6|DPP Model|Problem-solving|0.2667|secondary candidate|new hire|DPP Model_Problem-solving
A|2141.4.2|DPP Model|Problem-solving|0.2644|secondary candidate|new hire|DPP Model_Problem-solving
A|2144.1.22|DPP Model|Problem-solving|0.2359|secondary candidate|new hire|DPP Model_Problem-solving
A|3122.3.4|DPP Model|Problem-solving|0.2334|secondary candidate|new hire|DPP Model_Problem-solving
A|2144.1.11|DPP Model|Problem-solving|0.2305|secondary candidate|new hire|DPP Model_Problem-solving
A|3122.4.8|DPP Model|Problem-solving|0.2304|secondary candidate|new hire|DPP Model_Problem-solving
A|3119.2.1|DPP Model|Problem-solving|0.2234|secondary candidate|new hire|DPP Model_Problem-solving
A|2144.1.9|DPP Model|Process optimization|0.2862|secondary candidate|upskilling|DPP Model_Process optimization
A|2141.4.2|DPP Model|Process optimization|0.2804|secondary candidate|upskilling|DPP Model_Process optimization
A|2141.4.1|DPP Model|Process optimization|0.2687|secondary candidate|upskilling|DPP Model_Process optimization
A|2144.1.6|DPP Model|Process optimization|0.2627|secondary candidate|upskilling|DPP Model_Process optimization
A|2144.1.22|DPP Model|Process optimization|0.2506|secondary candidate|upskilling|DPP Model_Process optimization
A|3119.2.1|DPP Model|Process optimization|0.2169|secondary candidate|upskilling|DPP Model_Process optimization
A|3122.4.8|DPP Model|Process optimization|0.2145|secondary candidate|upskilling|DPP Model_Process optimization
A|3122.3.4|DPP Model|Process optimization|0.209|secondary candidate|upskilling|DPP Model_Process optimization
A|1321.2.3|DPP Model|Strategic integration|0.2594|secondary candidate|new hire|DPP Model_Strategic integration
A|1324.8|DPP Model|Strategic integration|0.2464|secondary candidate|new hire|DPP Model_Strategic integration
A|1321.2.1|DPP Model|Strategic integration|0.2298|secondary candidate|new hire|DPP Model_Strategic integration
A|1321.2.3|DPP Model|sustainability compliance|0.2219|secondary candidate|new hire|DPP Model_sustainability compliance
A|1321.2.2|DPP Model|sustainability compliance|0.2143|secondary candidate|new hire|DPP Model_sustainability compliance
A|1321.2.1|DPP Model|sustainability compliance|0.2107|secondary candidate|new hire|DPP Model_sustainability compliance
A|2144.1.9|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.243|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
A|2144.1.6|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2298|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
A|8211.3|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.229|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
A|8211.2|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2283|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
A|3119.2.1|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2257|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
A|2144.1.22|Function-oriented assembly|Ability to operate both virtual and physical assembly environments|0.2136|secondary candidate|new hire|Function-oriented assembly_Ability to operate both virtual and physical assembly environments
