pilot,esco_occ_code,isco_code,occupation_title,skill_uri,skill_label,relation_type,skill_type
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/21e0cad8-4eef-42be-b18b-0f8e37f0dbd0,product life-cycle,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/66db424f-2abe-420d-8e5b-186607266b61,corporate social responsibility,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/cf579543-272b-43c8-b942-555836ae4241,supply chain principles,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/e2d0daae-2aa1-40cc-99e2-b340b02f97d3,product data management,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c,supply chain management,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/fe1ec582-d63b-466c-9149-e7fc4fe93e22,supplier management,essential,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/210827e3-3129-45a2-8683-70399f3f561f,order supplies,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,maintain relationship with customers,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/2a2fa8e8-aaf3-4abf-a60b-af6415f1c6d4,strive for company growth,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,maintain relationship with suppliers,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/5d26851b-270a-4fbe-abeb-2bfd6eba3e2d,analyse logistic changes,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/5da3c765-10a3-49eb-934c-ec401ceb1a34,analyse business plans,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/772a9c72-abef-4333-9788-f4cb48ad8e08,identify software for warehouse management,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/94193295-26de-42e5-a8e9-2ef7597e59f5,identify key processes of traceability systems,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/96d549bb-3e62-4c45-92a7-f114df089581,analyse supply chain strategies,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/96ec2d53-4f41-4172-8ef2-70742c4bb540,assess supplier risks,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/ab6265f2-a9bf-49e8-a9a5-67cbab4de38b,manage inventory,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/b1ef509e-f191-405a-8419-51663b08922e,implement a management system,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/b7e57889-a84f-440c-9e60-459aa69979e9,analyse supply chain trends,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/d1724ca5-ebd3-472a-bea9-fad9fe9004bf,estimate costs of required supplies,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/f14ff4b7-be1e-4b55-b39b-520005f8a97e,liaise with managers,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/f5f5b244-6cea-4fbc-8a50-8f712791bc09,follow company standards,essential,skill/competence
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,warehouse operations,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909,labour legislation,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportation software related to an ERP system,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/1c460d2d-90c6-4fc9-ad49-febb6e15605a,pricing strategies,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/2d140a3a-45a6-4248-80dd-b3760ebc9cc6,operations management,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/4b2db903-cd8e-48ce-97fb-a92db4def54e,financial forecasting,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/4d6a1837-93df-4a81-b424-74e1a8ed2f03,multimodal transport logistics,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0,risk management,optional,knowledge
A,1324.8,1324,Supply Chain Managers,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,optional,knowledge
